Year,Name,Event,Round,Scores
2017,J. Andre,Quiksilver Pro Gold Coast,Round 1,"['1.50', '1.87', '5.00', '4.37', '2.17', '4.23', '5.93', '0.27', '0.27', '5.53', '1.93']"
2017,M. Bourez,Quiksilver Pro Gold Coast,Round 1,"['5.67', '0.83', '0.43', '3.17', '4.07', '4.47', '4.60', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,C. Coffin,Quiksilver Pro Gold Coast,Round 1,"['1.27', '4.00', '0.37', '2.73', '3.33', '0.83', '5.40', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,M. Wilkinson,Quiksilver Pro Gold Coast,Round 1,"['6.17', '3.77', '1.70', '7.50', '2.83', '4.07', '\xa0']"
2017,S. Kennedy,Quiksilver Pro Gold Coast,Round 1,"['0.50', '2.50', '4.93', '0.37', '1.50', '3.90', '0.20']"
2017,I. Gouveia,Quiksilver Pro Gold Coast,Round 1,"['4.33', '0.70', '3.50', '0.43', '3.80', '0.33', '\xa0']"
2017,K. Andino,Quiksilver Pro Gold Coast,Round 1,"['4.00', '6.33', '0.30', '0.23', '0.37', '0.47', '5.00', '4.50', '0.20', '1.27']"
2017,J. Freestone,Quiksilver Pro Gold Coast,Round 1,"['3.33', '2.43', '7.17', '3.50', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,K. Igarashi,Quiksilver Pro Gold Coast,Round 1,"['1.00', '0.67', '0.83', '0.60', '2.10', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,G. Medina,Quiksilver Pro Gold Coast,Round 1,"['7.50', '0.27', '1.40', '7.83', '0.50', '2.73', '8.67']"
2017,W. Dantas,Quiksilver Pro Gold Coast,Round 1,"['4.83', '1.83', '2.93', '0.43', '6.07', '0.93', '0.80']"
2017,E. Lau,Quiksilver Pro Gold Coast,Round 1,"['4.50', '1.23', '5.40', '1.93', '5.30', '1.00', '\xa0']"
2017,J. Smith,Quiksilver Pro Gold Coast,Round 1,"['6.43', '0.67', '0.43', '5.50', '0.37', '0.93', '2.83', '2.43', '\xa0']"
2017,M. Pupo,Quiksilver Pro Gold Coast,Round 1,"['1.40', '0.83', '3.67', '3.50', '1.33', '8.10', '0.67', '0.37', '3.30']"
2017,N. Young,Quiksilver Pro Gold Coast,Round 1,"['6.33', '1.57', '0.33', '4.33', '0.37', '0.93', '1.77', '3.33', '\xa0']"
2017,J. Florence,Quiksilver Pro Gold Coast,Round 1,"['7.33', '0.90', '3.67', '8.50', '1.00', '8.33', '0.67']"
2017,M. Wright,Quiksilver Pro Gold Coast,Round 1,"['2.57', '1.50', '3.10', '5.33', '1.00', '7.67', '5.83']"
2017,C. O'Leary,Quiksilver Pro Gold Coast,Round 1,"['2.33', '3.90', '1.80', '4.30', '\xa0', '\xa0', '\xa0']"
2017,M. Fanning,Quiksilver Pro Gold Coast,Round 1,"['4.67', '6.10', '2.93', '7.17', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,J. Flores,Quiksilver Pro Gold Coast,Round 1,"['2.00', '2.00', '5.13', '0.80', '7.33', '5.10', '5.80', '3.03', '\xa0']"
2017,K. Slater,Quiksilver Pro Gold Coast,Round 1,"['5.83', '4.63', '1.00', '3.67', '0.37', '5.37', '2.60', '1.00', '2.50']"
2017,J. Wilson,Quiksilver Pro Gold Coast,Round 1,"['2.00', '3.50', '7.00', '1.73', '8.67', '0.20', '2.33', '8.13', '\xa0']"
2017,L. Fioravanti,Quiksilver Pro Gold Coast,Round 1,"['1.00', '5.57', '2.57', '4.50', '0.43', '6.50', '0.20', '4.60', '\xa0']"
2017,C. Ibelli,Quiksilver Pro Gold Coast,Round 1,"['3.67', '2.60', '1.60', '4.00', '0.40', '0.37', '6.90', '3.70', '3.67']"
2017,J. Parkinson,Quiksilver Pro Gold Coast,Round 1,"['9.23', '0.40', '1.60', '7.17', '1.70', '1.00', '1.10', '3.60', '6.13', '0.93', '7.63']"
2017,J. Duru,Quiksilver Pro Gold Coast,Round 1,"['3.33', '0.90', '2.17', '1.63', '1.33', '8.07', '5.67', '3.67', '8.33', '\xa0', '\xa0']"
2017,I. Ferreira,Quiksilver Pro Gold Coast,Round 1,"['4.83', '0.87', '1.50', '6.83', '4.43', '0.23', '0.63', '0.43', '\xa0', '\xa0', '\xa0']"
2017,F. Morais,Quiksilver Pro Gold Coast,Round 1,"['6.33', '2.93', '8.73', '3.17', '6.97', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,F. Toledo,Quiksilver Pro Gold Coast,Round 1,"['6.33', '4.67', '7.60', '0.50', '7.50', '5.07', '4.83', '1.00', '6.53']"
2017,A. Buchan,Quiksilver Pro Gold Coast,Round 1,"['3.33', '0.57', '7.43', '6.00', '0.50', '6.00', '0.93', '\xa0', '\xa0']"
2017,A. de Souza,Quiksilver Pro Gold Coast,Round 1,"['0.50', '7.00', '9.17', '5.30', '3.93', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,B. Durbidge,Quiksilver Pro Gold Coast,Round 1,"['8.17', '0.50', '2.33', '7.27', '4.60', '2.33', '0.50', '2.17', '6.93']"
2017,J. Kerr,Quiksilver Pro Gold Coast,Round 1,"['0.87', '3.50', '2.07', '5.33', '0.50', '6.00', '1.27', '\xa0', '\xa0']"
2017,O. Wright,Quiksilver Pro Gold Coast,Round 1,"['1.00', '8.23', '6.27', '2.83', '8.60', '7.43']"
2017,E. Ewing,Quiksilver Pro Gold Coast,Round 1,"['9.10', '6.17', '0.37', '0.90', '\xa0', '\xa0']"
2017,S. Zietz,Quiksilver Pro Gold Coast,Round 1,"['6.33', '2.17', '5.87', '5.07', '\xa0', '\xa0']"
2017,M. Wright,Quiksilver Pro Gold Coast,Round 2,"['4.17', '6.67', '0.67', '7.50', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,M. Bourez,Quiksilver Pro Gold Coast,Round 2,"['4.70', '1.57', '8.23', '3.60', '3.57', '0.27', '0.33', '2.67', '4.97']"
2017,K. Slater,Quiksilver Pro Gold Coast,Round 2,"['0.50', '0.37', '5.17', '0.37', '0.20', '7.00', '7.03', '0.93', '1.00', '0.30', '1.63']"
2017,N. Young,Quiksilver Pro Gold Coast,Round 2,"['3.50', '1.57', '6.17', '2.67', '1.60', '0.30', '6.77', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,E. Lau,Quiksilver Pro Gold Coast,Round 2,"['5.33', '3.00', '0.30', '7.00', '\xa0', '\xa0', '\xa0', '\xa0']"
2017,F. Toledo,Quiksilver Pro Gold Coast,Round 2,"['0.27', '4.67', '1.00', '0.50', '5.07', '1.37', '6.70', '0.50']"
2017,S. Zietz,Quiksilver Pro Gold Coast,Round 2,"['2.50', '2.17', '6.73', '8.13', '2.60', '8.27', '6.33', '0.37', '4.40']"
2017,J. Freestone,Quiksilver Pro Gold Coast,Round 2,"['7.83', '6.17', '1.00', '0.50', '0.30', '4.17', '0.67', '\xa0', '\xa0']"
2017,I. Gouveia,Quiksilver Pro Gold Coast,Round 2,"['4.50', '0.20', '3.43', '0.43', '5.07', '6.50', '1.13', '4.27', '\xa0', '\xa0']"
2017,J. Kerr,Quiksilver Pro Gold Coast,Round 2,"['0.33', '3.73', '1.93', '2.53', '0.70', '6.37', '1.70', '0.43', '1.93', '0.57']"
2017,J. Flores,Quiksilver Pro Gold Coast,Round 2,"['6.83', '6.23', '2.93', '8.23', '7.77', '2.27']"
2017,A. Buchan,Quiksilver Pro Gold Coast,Round 2,"['0.70', '6.67', '3.60', '7.60', '8.37', '5.00']"
2017,I. Ferreira,Quiksilver Pro Gold Coast,Round 2,"['5.83', '5.17', '5.90', '7.83', '2.50', '2.13', '6.53', '10.00', '1.27', '0.30', '0.83', '0.87']"
